"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"1",1,0,0,1,1,0,1,0,0.4909,1,1,6.9,-0.11,21
"2",1,0,0,1,1,0,0,0,0.694,1,2,4.8,0.452,22
"3",1,0,0,0,1,0,1,0,1.1,1,1,6.5,0.967,21
"5",1,0,1,1,0,0,0,0,0.2544,1,1,6.9,0,21
"6",1,0,0,1,0,1,1,0,0.9391,0,2,5.4,0,22
"7",1,0,0,0,0,1,1,0,1.05,1,1,4.2,-0.62,21
"8",1,0,0,0,0,1,0,1,2,1,2,6.2,1.11,21
"9",1,0,0,1,0,1,0,1,1.25,1,2,6.2,0.85,21
"10",1,0,0,0,0,1,0,1,1.5119,1,1,6.9,0.749,21
"11",1,0,0,0,1,0,1,0,0.4899,1,1,4.2,0.437,22
"12",1,0,0,0,1,0,1,0,0.4899,1,1,4.2,1.151,21
"13",1,0,0,1,1,0,1,0,0.9839,1,0,4.2,0.749,22
"14",0,0,0,0,1,0,1,0,0.7348,1,0,5.1,-0.027,21
"15",1,0,0,0,1,0,1,0,1.0286,1,2,6.1,0.186,20
"18",1,0,0,0,1,0,1,0,1.4,1,2,6.1,0.504,21
"21",0,0,0,1,0,0,0,0,0.5814,1,0,9,-0.771,22
"22",1,0,0,0,1,0,0,0,0.95,1,2,9.5,-0.191,20
"23",1,0,0,0,0,0,0,1,1.2969,1,1,9.5,-0.574,21
"24",1,0,0,0,1,0,1,0,0.6532,1,1,9.5,0.727,22
"26",1,0,0,0,1,0,1,0,0.6708,1,2,8.8,1.122,21
"27",0,0,0,1,0,0,1,0,0.7,1,0,9.5,-0.692,21
"28",1,0,0,0,1,0,0,0,1.35,1,1,9.5,0.988,22
"29",1,0,0,0,1,0,0,1,1.25,1,0,9.5,0.265,22
"30",0,0,0,1,1,0,1,0,0.8083,1,1,6.9,-0.572,21
"32",0,0,0,0,0,0,0,0,0.694,1,2,5.5,-0.317,21
"33",1,0,0,0,1,0,1,0,2.25,1,1,11.4,-0.9,22
"36",1,0,0,1,1,0,1,0,0.8971,1,2,8.4,0.177,21
"38",1,1,0,0,0,0,0,0,0.8126,1,2,8.4,-1.754,22
"39",1,0,0,0,0,0,1,0,1.45,1,1,5.7,1.018,22
"41",1,0,0,0,0,0,1,0,0.8944,0,1,6.9,0.506,20
"42",1,0,0,0,0,0,0,0,0.75,1,2,5.4,0.419,21
"43",1,0,0,0,1,0,0,0,1.0392,1,1,5.4,-1.404,22
