"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"4",1,0,0,1,0,1,0,1,1.5,1,1,3.8,1.667,22
"16",1,0,0,0,1,0,1,0,1.3416,1,0,6.1,0.17,21
"17",1,0,0,0,0,1,0,1,1.3,1,0,5.8,1.09,21
"19",1,0,0,0,0,1,0,1,3.5,1,2,4.5,1.585,21
"20",1,0,0,0,0,1,0,1,1.5,1,1,4.5,0.803,22
"25",1,0,0,0,0,0,0,0,0.3536,1,1,9.5,-0.842,21
"31",0,0,1,1,0,0,1,0,0.2179,1,2,11.4,-1.019,22
"34",1,0,0,0,1,0,1,0,1.2247,1,2,11.4,0.81,21
"35",1,0,0,0,1,0,0,1,0.7603,1,2,8.4,1.548,22
"37",1,1,0,1,0,0,1,0,0.2884,1,0,8.4,-0.18,22
"40",1,0,0,0,0,0,1,0,0.8944,0,1,6.9,-0.865,22
"44",1,0,0,0,0,1,0,1,2,1,2,5.9,1.057,20
"62",1,0,0,0,0,1,0,1,1,1,1,7.5,-0.51,21
"63",1,0,0,1,0,1,1,0,0.7778,1,1,7.5,-0.284,22
"67",1,0,0,0,1,0,0,1,1.25,0,1,6.3,0.408,21
"79",1,0,0,0,0,1,0,1,0,1,1,13.7,-0.532,22
"83",1,0,0,0,1,0,0,1,1.0286,1,1,4.8,0.897,21
"85",1,0,0,0,1,0,0,0,1.0733,1,0,6.9,0.75,21
"86",1,0,0,0,1,0,0,1,2.5981,1,0,9.4,0.146,22
"88",1,0,0,0,1,0,1,0,1.2247,1,2,9.4,1.094,22
"89",1,0,0,0,1,0,0,1,1.7321,1,2,9.4,0.824,21
"90",0,1,0,0,1,0,1,0,0.506,1,1,6.9,-0.278,22
"96",1,0,0,0,0,1,0,1,1.9,1,2,6.9,0,22
"99",1,0,0,0,1,0,1,0,0.694,1,1,3.7,1.426,22
"101",1,0,0,0,1,0,1,0,0.8944,1,2,4.1,0.615,20
"106",1,0,0,0,1,0,1,0,1.245,1,1,11.1,0.507,20
"108",1,0,0,0,0,0,1,0,0.9,1,1,5.4,1.136,21
"110",1,0,0,0,0,0,0,0,1.0206,1,0,5.4,-1.378,22
"113",1,0,0,0,1,0,0,0,0.8944,1,1,4.4,-1.41,21
"115",1,0,0,0,1,0,1,0,1.2247,1,1,5.6,0.782,22
"124",1,0,0,0,1,0,1,0,0.8497,0,0,7.8,-0.03,22
"125",0,0,0,0,1,0,1,0,0.9,1,2,7.5,-0.502,21
"126",1,1,0,1,1,0,1,0,0.2147,1,2,7.5,-0.64,22
"131",1,0,0,0,0,0,1,0,0.6708,1,1,6.9,0,22
"140",1,1,0,0,0,0,1,0,0.4472,1,1,3.4,-0.089,22
"144",1,0,0,1,0,1,0,1,0.4619,1,2,5.1,1.218,21
"179",1,0,1,0,0,0,0,0,0.9839,1,2,8.9,1.191,22
"183",1,0,0,0,0,0,0,0,1.1748,1,1,8.3,-0.963,22
"185",1,0,0,0,0,1,0,1,1.5062,0,2,5.6,0.636,22
"187",1,0,0,0,0,1,0,1,1.8783,0,2,5.6,0.361,21
"196",1,0,0,1,1,0,0,0,0.483,1,0,6,-0.671,21
"203",1,0,0,0,1,0,1,0,1.2969,1,2,10.1,0.481,22
"205",0,0,0,0,1,0,0,0,0.2449,0,2,7.7,-1.225,21
"207",1,0,0,0,0,1,0,1,1.0206,0,2,7.7,1.481,21
"218",1,0,0,0,1,0,1,0,1.4,0,1,7.9,1.021,22
"222",1,0,0,0,1,0,1,0,1.15,0,2,4.2,1.154,22
"233",0,0,0,0,0,0,0,0,0.6,1,1,5.5,-0.792,22
"234",1,0,0,0,1,0,1,0,0.8944,1,2,5.5,-0.2,22
"241",1,0,0,0,0,1,1,0,1.118,0,1,9.1,1.626,22
"243",1,0,0,1,0,1,0,0,0.7,0,1,8.1,0.711,22
"244",1,0,0,0,0,0,1,0,1.0206,0,2,6.9,0.917,22
"251",1,1,0,0,1,0,0,0,0.5,0,2,5.6,-0.273,21
"257",1,0,0,0,0,1,0,0,0.4,0,2,5.9,1.547,21
"265",0,0,1,0,0,0,0,0,0.0077,1,1,11.3,-1.545,21
"268",1,0,1,0,0,0,0,0,0.3266,1,2,11.3,-1.18,21
"282",1,0,0,1,0,1,0,0,0.825,1,2,5.8,0.138,22
"297",1,0,0,0,0,1,0,1,1.4289,1,0,12.7,1.169,22
"298",1,0,0,0,0,1,0,1,1.25,1,0,4.4,0.814,22
"301",1,0,0,0,0,0,1,0,1.45,1,1,6.1,-0.161,22
"303",1,0,0,0,1,0,1,0,0.4472,1,1,6.1,1.311,22
