"ID","Female","Age","Neuroticism","Extraversion","Happiness","ERA","QSR"
"ID100",1,22,2.875,2.875,3.75,0.337945833,13.5
"ID101",1,47,3,2.625,3.5,0.390016667,9
"ID102",0,22,3,3.875,6,0.385304167,26
"ID103",1,23,3.125,3.375,5.5,0.3845125,23.5
"ID104",1,56,1.375,4.875,6.5,0.339270833,23.75
"ID105",1,55,2.875,2.75,4,0.355895833,19.5
"ID106",1,21,4.375,4.625,3.25,0.347320833,24.75
"ID107",1,46,3.875,3.75,5.25,0.334766667,23.75
"ID108",1,21,3.083333333,4,5.5,0.396116667,25
"ID109",1,57,3.125,4,5.75,0.343883333,24.5
"ID110",1,48,3.5,4,7,0.379325,19
"ID111",1,22,3.375,3.875,6.25,0.4230125,23.25
"ID112",1,59,4,3.5,6,0.392491667,20
"ID113",1,45,4,2.25,2,0.384220833,14.75
"ID114",1,23,3.875,3,5,0.458716667,19.75
"ID116",1,47,2,4.25,5.5,0.352458333,17.5
"ID117",1,31,4.25,2.5,4.75,0.362116667,24
"ID118",1,39,1.875,2.625,4.25,0.4628875,24.5
"ID119",1,22,2.875,3.5,5.5,0.463925,23.5
"ID120",0,33,2.625,2.625,5.75,0.337683333,18
"ID121",0,46,2.75,2.875,5.75,0.303829167,19.5
"ID122",0,21,1.625,4,5,0.409908333,20.5
"ID123",0,51,2,4.375,5.5,0.375370833,20.75
"ID124",1,24,2.75,2.583333333,3.25,0.331945833,23.25
"ID125",1,22,3,3.625,6.5,0.373975,21.25
"ID126",1,48,2.375,3.625,5.25,0.4844,17.75
"ID127",0,70,1.875,2.5,4.75,0.239875,22
"ID128",0,20,1.333333333,4.166666667,6.75,0.4359375,19.25
"ID129",0,45,2.125,3.75,5.75,0.473208333,19
"ID130",1,25,4.125,2.375,4,0.328391667,15
"ID131",0,70,2.875,3.625,5.25,0.479720833,20.25
"ID132",0,33,2,3.125,6.5,0.375683333,23.25
"ID133",1,28,3.625,3.375,4.75,0.450654167,22
"ID134",0,54,2.5,3.625,6.5,0.254591667,18.25
"ID135",1,53,3.625,1.625,3.75,0.3957125,15
"ID136",0,18,3.125,3.875,5,0.2850125,22
"ID137",1,56,3.75,3.75,4.75,0.481533333,25.75
"ID138",1,21,2.625,3,4.75,0.4033375,21.75
"ID139",1,52,2.25,3,5.75,0.4353,25.75
"ID140",0,55,2.75,3,4.5,0.3472625,12.75
"ID141",0,56,1.625,2.625,5.75,0.362645833,14.75
"ID142",1,60,3.5,3.125,4.25,0.439841667,22
