"hss_id","female","ses","schtyp","prog","read","write","math","science","socst","honors","awards","cid"
"HSS_1",1,1,1,3,34,44,40,39,41,0,0,1
"HSS_2",1,2,1,3,39,41,33,42,41,0,0,1
"HSS_3",0,1,1,2,63,65,48,63,56,1,5,16
"HSS_4",1,1,1,2,44,50,41,39,51,0,1,3
"HSS_5",0,1,1,2,47,40,43,45,31,0,0,4
"HSS_6",1,1,1,2,47,41,46,40,41,0,0,3
"HSS_7",0,2,1,2,57,54,59,47,51,0,1,11
"HSS_8",1,1,1,2,39,44,52,44,48,0,0,5
"HSS_9",0,2,1,3,48,49,52,44,51,0,0,7
"HSS_10",1,2,1,1,47,54,49,53,61,0,1,9
"HSS_11",0,2,1,2,34,46,45,39,36,0,0,2
"HSS_13",1,2,1,3,47,46,39,47,61,0,0,5
"HSS_14",0,3,1,2,47,41,54,42,56,0,0,6
"HSS_15",0,3,1,3,39,39,44,26,42,0,0,1
"HSS_17",1,2,1,2,47,57,48,44,41,0,2,8
"HSS_18",0,2,1,3,50,33,49,44,36,0,0,4
"HSS_19",1,1,1,1,28,46,43,44,51,0,0,2
"HSS_20",0,3,1,2,60,52,57,61,61,0,1,14
"HSS_21",0,2,1,1,44,44,61,50,46,0,0,8
"HSS_22",0,2,1,3,42,39,39,56,46,0,0,4
"HSS_23",1,1,1,2,65,65,64,58,71,1,5,18
"HSS_24",0,2,1,2,52,62,66,47,46,1,3,14
"HSS_25",1,2,1,1,47,44,42,42,36,0,0,4
"HSS_26",1,3,1,2,60,59,62,61,51,0,2,17
"HSS_27",0,2,1,2,53,61,61,57,56,1,3,15
"HSS_28",1,2,1,1,39,53,54,50,41,0,1,7
"HSS_29",0,1,1,1,52,44,49,55,41,0,0,9
"HSS_30",1,3,1,2,41,59,42,34,51,0,2,4
"HSS_31",1,2,2,1,55,59,52,42,56,0,2,10
"HSS_32",1,3,1,3,50,67,66,66,56,1,7,18
"HSS_33",1,1,1,2,57,65,72,54,56,1,5,18
"HSS_34",1,3,2,2,73,61,57,55,66,1,3,18
"HSS_36",1,1,1,1,44,49,44,35,51,0,0,3
"HSS_37",1,1,1,3,41,47,40,39,51,0,0,3
"HSS_38",0,1,1,2,45,57,50,31,56,0,2,6
"HSS_39",1,3,1,2,66,67,67,61,66,1,7,19
"HSS_40",0,1,1,1,42,41,43,50,41,0,0,4
"HSS_42",1,2,1,3,46,52,55,44,56,0,1,8
"HSS_43",1,1,1,2,47,37,43,42,46,0,0,3
"HSS_45",1,1,1,3,34,35,41,29,26,0,0,1
"HSS_46",1,1,1,2,45,55,44,34,41,0,2,5
