"uniqID","yrint","yrborn","female","race","marital","educ","realrinc","health"
"ID_3154",1974,1935,0,1,1,14,43178,4
"ID_3192",1974,1908,1,1,3,11,4935,2
"ID_3212",1974,1951,1,1,1,14,1234,4
"ID_3236",1974,1947,1,1,1,17,22206,4
"ID_3262",1974,1952,1,1,5,12,8636,3
"ID_3274",1974,1914,0,1,1,12,43178,3
"ID_3294",1974,1932,0,1,1,16,55515,4
"ID_3338",1974,1948,0,1,1,16,30841,4
"ID_3352",1974,1940,1,1,1,11,16038,2
"ID_3353",1974,1952,0,1,1,12,11103,3
"ID_3359",1974,1954,0,1,5,11,8636,3
"ID_3370",1974,1944,1,1,1,13,1234,2
"ID_3371",1974,1936,1,1,1,13,16038,3
"ID_3383",1974,1917,0,1,3,7,1234,2
"ID_3389",1974,1918,0,1,1,18,96450,4
"ID_3393",1974,1918,0,1,2,14,43178,2
"ID_3399",1974,1905,0,1,1,16,30841,3
"ID_3407",1974,1925,1,1,1,12,13570,4
"ID_3418",1974,1933,0,1,1,19,96450,4
"ID_3421",1974,1927,1,1,3,13,43178,4
"ID_3424",1974,1913,0,2,4,12,11103,3
"ID_3437",1974,1954,0,1,5,13,16038,3
"ID_3490",1974,1913,1,1,1,15,8636,2
"ID_3510",1974,1914,1,1,5,18,43178,4
"ID_3534",1974,1909,1,1,1,8,11103,4
"ID_3557",1974,1918,0,1,3,8,30841,2
"ID_3571",1974,1944,0,2,5,15,13570,4
"ID_3580",1974,1950,1,1,5,16,18505,3
"ID_3592",1974,1943,0,1,1,12,30841,1
"ID_3608",1974,1935,0,1,1,15,30841,4
"ID_3623",1974,1934,0,1,1,12,30841,3
"ID_3639",1974,1933,0,1,1,9,43178,4
"ID_3647",1974,1936,0,2,1,13,43178,3
"ID_3706",1974,1929,0,1,1,8,96450,4
"ID_3714",1974,1951,0,1,1,12,22206,2
"ID_3749",1974,1955,0,1,5,12,4935,4
"ID_3761",1974,1931,0,1,1,16,30841,3
"ID_3810",1974,1914,1,1,1,12,55515,4
"ID_3861",1974,1922,1,1,2,12,13570,4
"ID_3866",1974,1951,1,1,5,14,11103,3
"ID_3936",1974,1916,1,1,1,6,4935,4
"ID_3948",1974,1926,0,1,1,16,96450,4
"ID_3957",1974,1955,0,1,5,13,4935,3
"ID_3990",1974,1910,1,1,1,15,11103,1
"ID_3993",1974,1936,0,1,1,9,22206,4
"ID_4006",1974,1940,1,1,1,12,16038,4
"ID_4007",1974,1951,0,2,4,12,8636,3
"ID_4031",1974,1911,1,1,3,9,16038,3
"ID_4042",1974,1953,0,1,1,11,11103,2
"ID_4078",1974,1903,0,1,1,7,4935,2
"ID_4091",1974,1948,1,1,1,16,13570,4
"ID_4098",1974,1925,0,2,1,11,43178,3
"ID_4102",1974,1952,0,1,1,12,18505,3
"ID_4116",1974,1927,1,1,1,16,22206,2
"ID_4118",1974,1924,0,1,1,8,43178,4
"ID_4168",1974,1923,0,1,1,8,30841,2
"ID_4171",1974,1944,1,2,5,17,18505,3
"ID_4176",1974,1916,1,1,1,12,4935,4
"ID_4197",1974,1948,0,1,1,12,22206,3
"ID_4203",1974,1925,0,1,5,15,22206,3
"ID_4225",1974,1937,1,1,1,12,4935,3
"ID_4228",1974,1932,0,1,1,16,30841,4
"ID_4234",1974,1912,0,2,1,8,22206,4
"ID_4243",1974,1911,0,1,5,14,43178,3
"ID_4246",1974,1937,1,1,1,13,11103,3
"ID_4250",1974,1955,1,1,5,12,1234,3
"ID_4262",1974,1919,0,1,1,11,30841,2
"ID_4266",1974,1932,1,1,1,12,11103,4
"ID_4292",1974,1929,0,1,5,8,22206,2
"ID_4331",1974,1926,1,1,1,10,13570,3
"ID_4349",1974,1934,0,1,1,12,55515,4
"ID_4369",1974,1907,1,1,5,18,4935,2
"ID_4377",1974,1943,0,1,1,12,30841,4
"ID_4437",1974,1930,0,1,1,14,16038,4
"ID_4444",1974,1935,0,1,1,2,30841,3
"ID_4458",1974,1948,0,1,1,13,22206,4
"ID_4478",1974,1930,0,1,1,12,30841,3
"ID_4566",1974,1930,1,1,1,12,11103,2
"ID_4590",1974,1949,1,1,1,12,11103,4
"ID_4593",1974,1928,0,1,1,12,30841,4
"ID_4594",1974,1930,0,1,1,15,43178,4
"ID_4598",1974,1898,0,1,5,9,8636,2
"ID_4600",1974,1935,1,1,1,12,8636,3
"ID_4612",1975,1941,0,1,1,16,38910,3
"ID_4614",1975,1923,0,1,1,10,20011,3
"ID_4672",1975,1950,0,1,1,14,7782,3
"ID_4680",1975,1942,0,1,1,12,38910,3
"ID_4691",1975,1950,1,1,1,12,14452,4
"ID_4693",1975,1932,1,1,1,12,7782,3
"ID_4694",1975,1920,0,2,1,5,50027,4
"ID_4702",1975,1946,0,2,5,12,20011,3
"ID_4722",1975,1935,0,1,1,7,20011,2
"ID_4733",1975,1935,1,1,1,16,16676,4
"ID_4737",1975,1916,1,1,2,17,38910,4
"ID_4746",1975,1921,0,1,2,12,20011,3
"ID_4767",1975,1919,0,1,1,8,27793,2
"ID_4775",1975,1955,0,1,5,12,7782,2
"ID_4795",1975,1922,0,1,1,16,38910,4
"ID_4804",1975,1926,0,1,1,12,75863,2
"ID_4820",1975,1935,0,1,1,18,50027,4
"ID_4827",1975,1929,0,1,1,14,75863,4
"ID_4868",1975,1911,0,1,1,12,20011,2
"ID_4907",1975,1927,1,1,2,12,27793,4
"ID_4910",1975,1914,1,1,1,12,20011,2
"ID_5002",1975,1933,0,1,1,7,14452,3
"ID_5009",1975,1947,0,1,1,17,10005,4
"ID_5058",1975,1953,1,1,5,11,1112,3
"ID_5067",1975,1946,1,2,1,12,10005,3
"ID_5086",1975,1952,0,1,1,14,16676,4
"ID_5088",1975,1918,0,1,1,16,27793,4
"ID_5092",1975,1918,0,1,1,12,38910,3
"ID_5101",1975,1941,1,1,1,12,27793,4
"ID_5107",1975,1924,1,1,1,12,16676,3
"ID_5132",1975,1907,0,1,1,14,4447,3
"ID_5134",1975,1927,0,1,1,12,50027,3
"ID_5135",1975,1929,0,1,3,16,75863,4
"ID_5138",1975,1918,0,1,1,12,27793,3
"ID_5149",1975,1943,1,1,1,16,10005,3
"ID_5184",1975,1942,0,1,1,10,27793,3
"ID_5198",1975,1932,1,1,3,16,16676,4
"ID_5201",1975,1945,0,1,1,12,20011,4
